time,Hs,Tp,beach_slope,runup
23/05/2014 17:00,0.702196377,10.37174445,0.108406089,1.328668994
23/05/2014 18:00,0.625357716,11.32370918,0.127841572,1.120625074
23/05/2014 19:00,0.639864672,10.38029377,0.137457358,1.07859426
23/05/2014 20:00,0.595163462,10.47772382,0.138761304,1.016616967
23/05/2014 21:00,0.746449469,10.32527222,0.137497415,0.958950306
23/05/2014 22:00,0.6992532,10.47291541,0.142757365,0.896222101
23/05/2014 23:00,0.719643813,9.62897031,0.138359702,0.919836145
24/05/2014 0:00,0.679027175,10.37215378,0.136946114,1.014661653
24/05/2014 1:00,0.662511199,10.35008393,0.140319956,1.085732355
24/05/2014 2:00,0.803833752,10.29568987,0.129886186,1.214282516
24/05/2014 3:00,0.807889661,10.28842575,0.125936543,1.207876109
24/05/2014 4:00,0.761765073,10.32144263,0.127737205,1.258723274
24/05/2014 5:00,0.739882711,10.31083384,0.134866073,1.21491269
24/05/2014 6:00,0.688579165,10.43051835,0.145450539,1.170966681
24/05/2014 7:00,0.764031762,9.618860601,0.148555719,0.999238637
24/05/2014 8:00,0.693265127,9.69444365,0.137865009,0.848014517
24/05/2014 9:00,0.650805753,10.40235968,0.123369616,0.838130433
24/05/2014 10:00,0.822708365,9.624630213,0.122453111,0.77359862
24/05/2014 11:00,0.704311914,9.78365665,0.126649663,0.828036732
24/05/2014 12:00,0.68028439,11.26355073,0.127108043,0.949794672
24/05/2014 13:00,0.666450577,9.091174866,0.127750047,1.197856821
24/05/2014 14:00,0.615044608,11.40943685,0.119955125,1.196344504
24/05/2014 15:00,0.657349892,9.891464327,0.1317288,1.60607096
24/05/2014 16:00,0.723331265,11.45980413,0.158231885,1.628063257
24/05/2014 17:00,0.486816216,8.986574027,0.145909633,1.796172038
24/05/2014 18:00,0.63520674,10.13751034,0.15054907,1.477734107
24/05/2014 19:00,0.609260882,8.336935342,0.156331381,1.309772968
24/05/2014 20:00,0.750300073,8.25170303,0.151896653,1.204156922
24/05/2014 21:00,0.888927355,8.169165086,0.153303018,1.062081329
24/05/2014 22:00,0.738117743,10.19417579,0.148418852,0.8904347
24/05/2014 23:00,0.900183252,9.893419657,0.134530453,0.881028032
25/05/2014 0:00,0.900665305,10.7045442,0.126536945,0.941529221
25/05/2014 1:00,0.816337813,9.982467663,0.142104949,0.998968216
25/05/2014 2:00,0.778816766,11.65266087,0.140646532,1.180863119
25/05/2014 3:00,0.797033452,9.91927742,0.129086355,1.316753035
25/05/2014 4:00,0.740749563,10.73347426,0.16404332,1.381394116
25/05/2014 5:00,0.799482717,10.63824371,0.179120753,1.52702368
25/05/2014 6:00,0.702982215,12.57808309,0.147205534,1.246890421
25/05/2014 7:00,0.763391113,11.50689496,0.148929462,1.152314195
25/05/2014 8:00,0.825712172,10.63469828,0.13556918,0.998293895
25/05/2014 9:00,0.758279276,11.61225395,0.139182644,0.931498298
25/05/2014 10:00,1.034295455,10.55270085,0.114017853,0.789951645
25/05/2014 11:00,0.862190005,10.67675122,0.109571707,0.831471804
25/05/2014 12:00,0.894884849,11.48585831,0.110028169,0.85708551
25/05/2014 13:00,0.796170978,11.63368812,0.115786606,0.973000113
25/05/2014 14:00,0.956630343,9.923428657,0.126700478,1.150578167
25/05/2014 15:00,0.928315036,9.243325878,0.129876241,1.177970634
25/05/2014 16:00,0.829026061,10.01408863,0.126512435,1.260629373
25/05/2014 17:00,0.830789743,10.76674608,0.127499745,1.214262172
25/05/2014 18:00,0.795421977,11.69085769,0.149769849,1.317492382
25/05/2014 19:00,0.765650695,10.87080102,0.155960264,1.109130745
25/05/2014 20:00,0.866489632,11.62876364,0.138867404,0.991609488
25/05/2014 21:00,0.80101013,11.66165867,0.131799749,0.960303013
25/05/2014 22:00,0.717734824,10.09994627,0.133214069,0.830472762
25/05/2014 23:00,0.932573658,10.69960714,0.13046323,0.816000996
26/05/2014 0:00,0.848905885,10.76308555,0.129598644,0.692662592
26/05/2014 1:00,0.851254598,10.72352007,0.13697568,0.755062067
26/05/2014 2:00,0.875318152,8.639660471,0.140995087,0.88819003
